age_souscription,duree,capital_emprunte,taux_interet_annuel,taux_technique_annuel,target
56,15,300000,0.022,0.017,114.10165173336685
46,5,355000,0.042,0.012,49.10071436978411
32,5,210000,0.036,0.013,8.169291678984646
60,15,175000,0.028,0.02,94.09625419564019
25,5,165000,0.04,0.017,5.103382742776106
38,25,325000,0.029,0.006,47.04461881872341
56,5,195000,0.044,0.008,53.589824727978225
36,5,155000,0.039,0.014,8.223236812807448
40,10,490000,0.027,0.011,46.63659348043114
28,25,505000,0.042,0.017,34.50459701570848
28,25,540000,0.019,0.015,33.130528746457365
41,10,135000,0.033,0.02,14.41648897128402
53,20,340000,0.012,0.005,118.3769382788963
57,15,200000,0.041,0.012,86.06608940646643
41,25,460000,0.015,0.011,79.22271329595112
20,20,510000,0.043,0.012,18.74474468088346
39,15,55000,0.006,0.018,5.530482294014444
19,25,455000,0.032,0.011,17.645302123067122
41,5,505000,0.011,0.017,42.908854998639995
47,25,375000,0.036,0.014,112.32472109521204
55,15,320000,0.025,0.012,113.00130262444715
19,20,475000,0.041,0.015,16.953667813538754
38,5,310000,0.034,0.008,19.59601151084995
50,15,235000,0.036,0.007,59.022027814999774
29,15,165000,0.01,0.02,7.1045271047411065
39,25,510000,0.009,0.011,72.68165492142384
42,10,270000,0.039,0.01,31.640027324269223
44,10,70000,0.014,0.009,9.302356709602332
59,5,315000,0.04,0.014,106.97200540288208
45,15,400000,0.011,0.02,67.31754788826176
33,20,295000,0.017,0.018,21.83822993755013
32,5,315000,0.042,0.011,12.29925679933165
20,5,500000,0.039,0.018,14.986966432286383
54,25,150000,0.007,0.012,67.50391066297287
24,20,280000,0.023,0.007,11.016241437024162
38,15,90000,0.041,0.008,9.026051815866701
26,15,440000,0.006,0.009,15.680025985339292
56,15,380000,0.009,0.019,139.8369278755093
35,5,475000,0.031,0.02,23.114427661129362
21,25,270000,0.009,0.008,10.245875191233377
42,5,450000,0.023,0.011,42.63053798414768
31,10,265000,0.025,0.02,11.276888907459943
26,10,430000,0.039,0.018,14.800777374667462
43,15,265000,0.043,0.012,41.244349412796055
19,25,400000,0.025,0.012,15.111338783128241
37,15,245000,0.025,0.018,21.63165656790964
45,15,130000,0.034,0.005,22.830328406281698
24,5,60000,0.013,0.019,1.7940311969046299
25,15,120000,0.043,0.006,4.4818112405129
52,15,455000,0.005,0.019,123.08394235276363
31,25,260000,0.005,0.006,18.68033841524411
34,25,320000,0.03,0.02,33.63054552615445
53,25,435000,0.019,0.005,191.0962202527584
57,15,80000,0.021,0.019,32.89955443831903
21,25,375000,0.014,0.006,14.506371255793525
19,25,155000,0.021,0.007,5.696806229382871
23,20,310000,0.038,0.019,12.512386798137783
59,20,335000,0.033,0.017,207.674011913302
21,10,140000,0.009,0.018,4.236108014778524
46,5,395000,0.007,0.011,53.01331773766146
35,5,310000,0.025,0.006,14.877945984148147
43,25,495000,0.034,0.007,108.4435409641728
51,10,430000,0.032,0.019,98.28649547297249
27,10,255000,0.04,0.011,9.008456193923202
53,20,235000,0.01,0.016,82.17003508539234
31,10,295000,0.029,0.015,12.574145096559262
48,15,535000,0.036,0.012,117.69231988694357
32,25,375000,0.043,0.018,35.389988093670745
25,15,190000,0.009,0.015,6.614888024183214
31,5,180000,0.015,0.016,6.4967282663474
40,20,435000,0.019,0.018,59.44222712941709
57,15,390000,0.027,0.008,161.10499541418366
38,25,235000,0.021,0.009,32.77089172092867
33,15,330000,0.039,0.016,20.937546578484874
35,15,480000,0.043,0.017,36.96365120683013
41,10,300000,0.008,0.014,30.455026920800048
43,20,235000,0.033,0.02,42.94315294655951
42,5,115000,0.01,0.018,10.818484392483539
58,25,530000,0.041,0.017,390.8867900724286
46,25,495000,0.011,0.009,122.11647974396665
32,5,325000,0.045,0.01,12.713074255475544
18,25,315000,0.022,0.01,11.191960291375757
42,10,205000,0.02,0.006,23.134285361478966
24,15,335000,0.028,0.016,11.837124703594604
26,10,85000,0.021,0.011,2.81671071283197
41,10,220000,0.014,0.014,22.581373155845018
18,10,305000,0.03,0.016,8.846985414588596
25,5,60000,0.034,0.005,1.8312918940459306
41,20,360000,0.043,0.006,57.5721410262193
28,5,375000,0.021,0.01,12.150451009689757
34,5,525000,0.033,0.015,23.596011801512912
25,10,270000,0.038,0.012,8.950362429082972
52,20,305000,0.038,0.019,109.52346747025939
52,5,395000,0.006,0.009,80.55787056052012
50,20,235000,0.019,0.007,67.11261973208063
22,10,550000,0.006,0.007,16.40359768935248
59,5,535000,0.027,0.008,179.05036075288126
56,20,535000,0.04,0.009,263.15765925863553
58,25,235000,0.038,0.011,171.4902804059555
45,5,265000,0.037,0.013,33.69106016790774
24,5,480000,0.019,0.009,14.317368335504359
26,5,230000,0.007,0.013,7.054194075405209
25,20,350000,0.012,0.012,14.033028586477224
29,15,250000,0.032,0.01,11.278550301634223
51,5,345000,0.01,0.012,66.03465314506093
50,25,200000,0.01,0.011,66.52490416288353
40,25,265000,0.019,0.019,43.21597438862497
41,10,470000,0.009,0.006,47.41931472676222
54,15,70000,0.018,0.017,22.63763729848261
52,15,530000,0.044,0.01,157.12541658466193
57,20,200000,0.006,0.008,93.98484188762099
39,10,120000,0.038,0.018,10.620167709613773
44,20,120000,0.045,0.012,24.435465251815867
52,10,95000,0.022,0.013,22.707717107842317
18,15,310000,0.043,0.011,9.786495414188355
52,20,270000,0.015,0.011,88.64873214643433
54,10,295000,0.044,0.015,84.13050560254459
31,15,335000,0.039,0.016,17.92197795582078
20,15,235000,0.04,0.017,7.869863233749421
18,5,130000,0.01,0.013,3.4149911880823565
22,20,475000,0.04,0.016,18.505333030081026
43,5,170000,0.043,0.017,18.15324834689796
31,15,325000,0.038,0.015,17.324599366744195
56,20,140000,0.009,0.008,61.32055116997662
44,20,75000,0.008,0.016,13.44260434759218
26,25,280000,0.019,0.015,14.888195879150514
32,10,225000,0.033,0.006,10.282260647622724
32,25,160000,0.005,0.015,12.538899399360295
43,25,360000,0.043,0.018,82.35868825250998
59,15,430000,0.026,0.011,209.4615155819472
30,10,155000,0.019,0.007,6.044986302302638
49,25,135000,0.027,0.014,45.18335330591498
56,25,325000,0.034,0.009,196.3392825856689
49,20,235000,0.016,0.013,62.11393934066555
21,15,450000,0.017,0.015,14.473609181014714
47,25,520000,0.024,0.013,147.5714866036447
54,10,545000,0.032,0.01,151.5441732726928
40,5,490000,0.033,0.018,38.20510595357052
56,5,235000,0.018,0.007,63.16032225599106
32,15,480000,0.018,0.006,26.062753131089245
60,5,345000,0.024,0.017,125.04851561954914
46,20,105000,0.027,0.006,23.093471077969696
53,20,170000,0.031,0.012,63.97503362340437
30,10,470000,0.03,0.013,18.80894135192648
49,15,440000,0.02,0.01,99.213145050857
24,15,310000,0.017,0.009,10.530219223897399
39,5,290000,0.017,0.016,20.073677019873553
45,25,330000,0.031,0.01,83.10007175982119
19,25,395000,0.022,0.007,14.57961416165062
59,25,245000,0.01,0.012,171.21332803014
23,10,475000,0.005,0.016,14.470238717847476
45,15,50000,0.006,0.01,8.189503453556958
45,5,400000,0.04,0.007,50.792278743007905
37,10,425000,0.023,0.01,29.832555099838732
47,20,190000,0.031,0.013,45.90075338915603
28,20,120000,0.042,0.007,6.4513228263187985
45,20,460000,0.01,0.009,88.63859789441946
42,15,460000,0.023,0.02,63.20454118510176
56,20,305000,0.027,0.008,143.09478524410636
50,25,485000,0.039,0.006,184.46878375000557
18,20,240000,0.045,0.011,8.289098867377371
44,10,255000,0.033,0.006,34.93413559024029
30,20,545000,0.031,0.005,32.76161788933455
58,25,325000,0.042,0.005,241.8309704929945
20,20,230000,0.038,0.009,8.276242876885512
56,5,545000,0.04,0.006,149.0927959617011
23,25,55000,0.005,0.008,2.2519262385689176
25,15,540000,0.026,0.015,19.627514219678382
44,20,210000,0.036,0.009,41.35262396162079
26,10,510000,0.012,0.014,16.71745626589382
54,20,550000,0.035,0.011,226.80265023678686
