age_souscription,duree,capital_emprunte,taux_interet_annuel,taux_technique_annuel,target
56,10,350000,0.006,0.012,107.31401800396753
46,25,165000,0.034,0.016,45.51045352898693
32,20,185000,0.026,0.006,12.906743580621466
60,10,230000,0.018,0.019,99.05254096265107
25,10,80000,0.041,0.019,2.688606223314955
38,20,230000,0.023,0.014,26.86446979753369
56,15,465000,0.007,0.016,169.57024681317787
36,5,220000,0.022,0.015,11.5124393842176
40,10,125000,0.028,0.01,11.907669404084343
28,25,355000,0.031,0.013,23.06909284246252
28,5,525000,0.02,0.008,16.972488902114804
41,10,95000,0.014,0.018,9.788897718151622
53,15,135000,0.039,0.014,42.68736221297366
57,5,490000,0.019,0.008,141.08887463226546
41,25,320000,0.034,0.013,60.29762935275231
20,5,495000,0.041,0.012,14.796476347196382
39,20,505000,0.025,0.009,64.41722699398542
19,10,455000,0.037,0.014,13.86282802783638
41,20,440000,0.032,0.019,68.45929790239371
47,15,75000,0.04,0.006,15.441031022157528
55,5,515000,0.022,0.018,130.9961277341122
19,20,335000,0.019,0.02,11.311864475613856
38,15,195000,0.009,0.007,17.83844080050892
50,20,270000,0.032,0.019,81.80131440189218
29,25,220000,0.009,0.013,13.824495806279426
39,20,395000,0.02,0.017,49.78514443434026
42,10,520000,0.037,0.013,60.8971162895778
44,20,75000,0.011,0.012,13.527487777432913
59,20,455000,0.031,0.02,280.51919703910966
45,20,475000,0.031,0.01,99.02593396993052
33,20,510000,0.032,0.013,39.88334475979073
32,20,160000,0.022,0.019,11.081650749159317
20,5,435000,0.028,0.011,12.860701163797074
54,5,430000,0.013,0.006,100.82365296563417
24,25,85000,0.012,0.008,3.8140828308143258
38,5,350000,0.041,0.006,22.230484911681277
26,15,75000,0.006,0.005,2.6544788149078165
56,10,365000,0.006,0.013,112.03710891083189
35,20,260000,0.006,0.01,21.798964152772538
21,20,400000,0.017,0.019,14.149277195467127
42,20,420000,0.015,0.014,66.16085872800902
31,25,110000,0.027,0.01,8.880449043801958
26,25,370000,0.043,0.02,21.970336365077838
43,15,180000,0.008,0.012,25.50000082553798
19,20,370000,0.028,0.011,12.588526339777642
37,25,140000,0.034,0.017,19.185988525651727
45,20,65000,0.043,0.007,14.081598561279844
24,5,550000,0.035,0.007,16.593184922316297
25,20,220000,0.045,0.018,9.963930249435656
52,15,440000,0.017,0.011,121.71599805242933
31,15,400000,0.041,0.017,21.53209186629987
34,25,455000,0.007,0.018,42.66520556097822
53,20,195000,0.028,0.011,72.53621100383852
57,15,410000,0.042,0.011,176.71878990030436
21,5,315000,0.034,0.012,9.452831115356688
19,25,530000,0.012,0.013,18.997246707167122
23,5,100000,0.02,0.017,2.978621054442714
59,15,160000,0.011,0.019,75.42801564944814
21,25,535000,0.019,0.012,21.408100928414914
46,20,220000,0.033,0.006,49.438708413470636
35,10,450000,0.011,0.018,25.778754897709316
43,20,325000,0.025,0.018,57.63696430418219
51,20,305000,0.015,0.008,92.54062660185296
27,5,525000,0.008,0.019,16.540284378058182
53,20,300000,0.009,0.018,104.72134892117515
31,10,305000,0.006,0.007,12.372082524142488
48,25,345000,0.016,0.019,102.04351819848381
32,25,285000,0.043,0.012,26.934891192060213
25,10,510000,0.026,0.009,16.519018230347328
31,5,85000,0.024,0.016,3.0909863225478276
40,10,60000,0.011,0.013,5.556071186236467
57,25,160000,0.021,0.018,99.06091614726401
38,10,320000,0.013,0.007,24.259792229985088
33,5,235000,0.022,0.011,9.672125444940095
35,20,525000,0.024,0.017,47.554785775186055
41,20,70000,0.041,0.014,11.190687291192777
43,25,365000,0.034,0.006,79.91730151866888
42,5,350000,0.036,0.013,33.56828642411634
58,20,425000,0.043,0.019,250.60280764206848
46,20,60000,0.035,0.008,13.608045605449034
32,20,335000,0.033,0.009,24.057286035851785
18,15,150000,0.033,0.02,4.706705872380883
42,20,450000,0.025,0.011,73.33751146914676
24,15,190000,0.011,0.009,6.3558275707484615
26,10,330000,0.029,0.016,11.151355555002027
41,25,295000,0.019,0.007,51.65090160285166
18,25,300000,0.044,0.02,11.833062814951969
25,15,500000,0.013,0.019,17.70748762573679
41,5,70000,0.031,0.02,6.061743211473851
28,15,495000,0.039,0.009,21.331546656495057
34,20,115000,0.022,0.018,9.476737484370487
25,5,310000,0.032,0.01,9.480351049737608
52,25,140000,0.021,0.017,57.580490740856405
52,10,205000,0.012,0.01,47.993248590220766
50,10,360000,0.013,0.008,73.49962213935383
22,15,495000,0.017,0.012,16.08824819544883
59,15,455000,0.021,0.013,219.09636657454848
56,15,550000,0.03,0.011,212.30442365251278
58,15,240000,0.031,0.017,109.6638635007625
45,25,235000,0.037,0.011,60.79489193534277
24,20,480000,0.039,0.005,19.889164309494483
26,25,215000,0.006,0.007,10.63296095421228
25,10,385000,0.025,0.006,12.399317461256926
29,10,125000,0.036,0.018,4.818562810224811
51,10,110000,0.043,0.014,25.4739737117349
50,20,55000,0.034,0.017,16.747339810346215
40,20,210000,0.016,0.007,28.059072083782876
41,5,305000,0.02,0.014,26.071016238533353
54,20,450000,0.045,0.012,192.19026164654682
52,10,415000,0.016,0.007,97.51052602241205
57,20,445000,0.033,0.02,233.40899318859516
39,20,365000,0.014,0.014,44.83403049605356
44,20,350000,0.034,0.019,69.13309464461929
52,15,475000,0.009,0.017,129.56939352498378
18,20,520000,0.023,0.016,16.991375215224497
52,15,100000,0.017,0.01,27.627217607538967
54,10,515000,0.006,0.006,136.23382374185653
31,5,455000,0.011,0.019,16.40002398147667
20,25,540000,0.007,0.015,19.794067477635128
18,5,50000,0.012,0.005,1.3088453321217763
22,25,520000,0.033,0.017,23.287670215751874
43,10,510000,0.011,0.02,62.72413206248846
31,15,440000,0.044,0.014,23.80480129036727
56,20,395000,0.011,0.014,175.35403713582275
44,15,445000,0.044,0.007,74.61513831769028
26,25,60000,0.035,0.005,3.4229754730803936
32,20,345000,0.016,0.008,23.157472829070304
32,25,245000,0.04,0.017,22.821804073951085
43,25,445000,0.044,0.01,101.95196307902454
59,20,210000,0.043,0.008,134.2098624170946
30,5,70000,0.019,0.02,2.4269402673759695
49,5,460000,0.018,0.014,77.36815884686867
56,25,370000,0.011,0.01,200.29555631389
49,10,515000,0.045,0.006,103.56756061595455
21,15,440000,0.015,0.009,13.913740205929214
47,5,530000,0.007,0.012,76.70555653218113
54,20,340000,0.016,0.018,131.66930619726475
40,25,320000,0.035,0.007,55.85617044690356
56,15,345000,0.037,0.007,135.0771932574243
32,15,435000,0.007,0.01,22.972592015206228
60,25,270000,0.044,0.011,241.52779916844668
46,15,415000,0.043,0.017,81.2874695461165
53,10,285000,0.006,0.01,70.6917960908056
30,25,435000,0.023,0.013,31.7642104642128
49,15,215000,0.023,0.011,48.932451324520464
24,15,305000,0.025,0.015,10.680730450998375
39,5,445000,0.03,0.018,31.18618604271982
45,15,425000,0.036,0.016,76.01313379873238
19,15,65000,0.011,0.008,1.9561672355791495
59,5,230000,0.024,0.005,76.63344949134145
23,25,240000,0.013,0.011,10.264934168188963
45,5,320000,0.016,0.006,39.790743547650116
45,20,110000,0.017,0.01,21.794426078369614
37,20,505000,0.018,0.016,53.172330905834215
47,10,360000,0.023,0.007,60.79711112143413
28,15,145000,0.026,0.017,6.106035641292954
45,20,200000,0.017,0.015,39.870667032524004
42,25,335000,0.028,0.009,66.23714635006407
56,25,65000,0.017,0.005,36.21360494454353
50,20,405000,0.035,0.01,122.94744969096513
18,5,225000,0.04,0.017,6.0769455652857625
44,10,375000,0.035,0.012,51.8694188431224
30,5,190000,0.037,0.011,6.644507579379898
58,10,490000,0.023,0.018,180.99630082898275
20,20,170000,0.024,0.017,5.960684823550236
56,5,285000,0.007,0.014,76.24156162137228
23,20,215000,0.032,0.009,8.371734441509204
25,10,200000,0.013,0.01,6.350125293697356
44,25,140000,0.03,0.013,32.61053723702607
26,5,360000,0.016,0.017,11.154625203328548
54,20,490000,0.023,0.007,192.80490619122702
50,10,85000,0.044,0.008,18.303679230166725
59,25,295000,0.042,0.018,238.40482598573394
41,5,355000,0.007,0.011,29.948999318483466
32,10,515000,0.043,0.019,24.254707366725686
49,5,215000,0.031,0.018,36.649180914219215
49,5,105000,0.03,0.008,17.76913625468166
41,15,70000,0.009,0.02,8.504879005562087
58,20,285000,0.039,0.012,165.2398494933604
29,15,185000,0.028,0.013,8.288345200820695
56,5,115000,0.006,0.011,30.67728289145117
19,10,460000,0.035,0.017,14.029946173401923
20,20,380000,0.043,0.006,13.794707476609714
54,10,160000,0.033,0.007,44.42246868036112
34,10,525000,0.018,0.017,27.85432192480549
19,25,75000,0.034,0.014,2.948573272769045
19,5,65000,0.029,0.015,1.8665525642774001
45,10,540000,0.017,0.01,78.1749978422071
40,5,535000,0.021,0.014,41.18874306152438
54,15,455000,0.021,0.016,148.15340450832664
49,15,165000,0.034,0.013,38.74145647589207
50,10,185000,0.015,0.016,38.245614944583735
18,5,375000,0.034,0.02,10.096903302668922
36,25,450000,0.008,0.019,50.142573423042634
19,20,95000,0.028,0.005,3.1877059920697604
43,15,410000,0.012,0.005,58.21501920783606
49,15,550000,0.037,0.013,130.1283337907429
23,25,340000,0.015,0.008,14.618428946154854
49,10,535000,0.041,0.007,106.98362952211707
21,15,150000,0.02,0.009,4.8010126996309594
28,15,285000,0.02,0.005,11.619008913154426
34,20,395000,0.038,0.017,34.54132552157612
55,25,370000,0.035,0.016,206.4257415295082
41,25,380000,0.021,0.019,67.71606997335434
22,5,140000,0.043,0.02,4.252140205272348
51,25,550000,0.041,0.011,228.35530046263185
23,20,75000,0.019,0.008,2.788803516855771
39,25,540000,0.045,0.009,91.08300760495403
28,5,70000,0.011,0.014,2.2560852178194444
33,20,305000,0.038,0.017,24.434067687976928
50,15,105000,0.025,0.019,26.008853142202558
26,10,375000,0.022,0.009,12.414022318685515
23,15,75000,0.035,0.014,2.6097848886705575
33,5,315000,0.03,0.019,13.118626134783915
46,20,90000,0.026,0.017,19.971486979872793
20,15,350000,0.01,0.02,11.007621191418636
37,5,115000,0.043,0.019,6.706372808575451
53,15,345000,0.022,0.009,103.74844944771097
36,10,325000,0.033,0.012,21.142549975362183
43,15,100000,0.031,0.01,15.051918167814023
20,15,330000,0.017,0.016,10.46658440250393
36,15,185000,0.014,0.01,14.321124367430254
37,5,185000,0.039,0.018,10.746032118403095
49,20,185000,0.009,0.01,47.444881647370394
24,25,100000,0.016,0.017,4.623339081330124
58,5,230000,0.021,0.011,71.29397187264831
50,25,60000,0.042,0.006,23.121696748844247
57,25,525000,0.022,0.019,326.54180317651463
56,15,165000,0.015,0.018,61.65237472721101
35,10,185000,0.023,0.016,10.81080039960371
57,25,465000,0.017,0.015,282.4775714373458
18,25,135000,0.018,0.008,4.694759133622759
28,15,90000,0.023,0.01,3.7248865032556195
45,10,385000,0.008,0.007,54.66301496394281
42,15,55000,0.01,0.009,7.196805208336123
40,25,180000,0.045,0.017,32.904938922425785
48,5,515000,0.039,0.016,82.38474814550953
47,25,470000,0.027,0.007,134.75231224419528
59,5,355000,0.007,0.012,117.11614929508832
52,20,220000,0.023,0.015,74.70910686458421
24,10,330000,0.026,0.017,10.577198514318242
33,20,145000,0.033,0.011,11.370188732384067
43,15,120000,0.013,0.019,17.389406509271783
19,25,515000,0.027,0.014,19.695295340888777
18,20,200000,0.024,0.017,6.5703223204048
29,10,430000,0.024,0.019,16.26718623420241
22,5,165000,0.017,0.013,4.885039532319927
54,5,125000,0.023,0.017,29.769925889191608
49,15,450000,0.043,0.014,108.20892183059246
26,15,85000,0.025,0.008,3.179266536075246
58,25,125000,0.042,0.018,92.53602464862671
