age_souscription,duree,capital_emprunte,taux_interet_annuel,taux_technique_annuel,target
56,25,500000,0.018,0.005,279.95692613001484
46,5,420000,0.019,0.009,56.873849740119155
32,5,295000,0.028,0.012,11.39238078932173
60,15,510000,0.026,0.016,271.76043721056783
25,20,320000,0.024,0.007,13.299723755084388
38,20,85000,0.026,0.013,10.033724424567442
56,10,120000,0.029,0.009,38.1853071819837
36,5,195000,0.015,0.01,10.111540520934204
40,20,460000,0.038,0.019,67.36465549763126
28,10,290000,0.027,0.014,10.46848822397329
28,10,420000,0.016,0.006,14.734938146335612
41,15,215000,0.012,0.012,26.103079290921425
53,5,205000,0.036,0.017,46.13672792872355
57,10,65000,0.026,0.014,22.266976059536294
41,10,345000,0.012,0.006,35.002920971662256
20,10,485000,0.039,0.016,15.175669873144118
39,5,510000,0.033,0.007,35.60121159578327
19,15,440000,0.018,0.02,13.801000006673942
41,25,50000,0.016,0.014,8.6730107381249
47,20,155000,0.014,0.011,35.125299781402106
55,5,235000,0.008,0.018,59.07968224363364
19,5,290000,0.043,0.01,8.393051462348662
38,5,380000,0.043,0.009,24.22025359194889
50,25,540000,0.021,0.008,189.2079685761648
29,20,325000,0.009,0.016,16.751254021396818
39,20,335000,0.019,0.02,42.17142720334718
42,10,190000,0.019,0.015,21.59635204022463
44,10,485000,0.015,0.008,64.49810234143156
59,15,140000,0.009,0.017,65.49450996410476
45,5,460000,0.009,0.018,57.29468137204832
33,15,525000,0.043,0.013,33.58414845391761
32,5,300000,0.037,0.019,11.724628391697703
20,20,375000,0.014,0.019,12.794762400173228
54,15,215000,0.034,0.011,72.02769669978973
24,20,320000,0.007,0.007,11.877974369160743
38,10,165000,0.015,0.016,12.661163986154166
26,20,90000,0.033,0.011,4.1158064309354545
56,25,425000,0.03,0.011,252.09380071363557
35,15,260000,0.03,0.01,19.212481577396243
21,5,125000,0.02,0.014,3.715472810469222
42,20,140000,0.018,0.013,22.27919130844677
31,15,400000,0.021,0.014,20.33937520448347
26,5,295000,0.016,0.006,9.06844683374969
43,15,345000,0.008,0.018,49.248179873245064
19,15,105000,0.013,0.011,3.1954843045848413
37,25,540000,0.007,0.014,64.84145364197526
45,20,385000,0.012,0.017,75.5289866757816
24,25,65000,0.016,0.009,2.9780078451475194
25,10,165000,0.019,0.009,5.283691906476188
52,15,85000,0.043,0.017,25.33075754448084
31,20,435000,0.037,0.016,29.229496824487065
34,10,285000,0.025,0.011,15.222578605630325
53,10,80000,0.031,0.006,20.636396068383316
57,25,330000,0.012,0.01,195.4700774301117
21,10,410000,0.027,0.017,12.743156923878862
19,5,435000,0.037,0.006,12.494211576005114
23,5,315000,0.011,0.015,9.301567805974882
59,5,465000,0.036,0.019,157.87895194771235
21,10,505000,0.023,0.013,15.508955332537099
46,15,360000,0.013,0.014,64.98591414638742
35,20,370000,0.007,0.011,31.178313144905704
43,5,240000,0.043,0.007,25.47570253692568
51,5,415000,0.012,0.018,79.87908798023679
27,5,230000,0.037,0.011,7.375878394725857
53,25,370000,0.027,0.019,169.41347352875226
31,25,220000,0.042,0.013,19.058106534006935
48,5,550000,0.038,0.019,88.0779230539268
32,5,260000,0.015,0.019,9.976808908963452
25,25,85000,0.045,0.015,4.749216687276618
31,20,300000,0.021,0.011,18.913641490546578
40,15,445000,0.038,0.017,53.436979244900236
57,20,345000,0.044,0.015,187.39993869614452
38,15,90000,0.017,0.016,8.505016657262919
33,10,200000,0.035,0.015,10.021518693642319
35,10,540000,0.012,0.016,30.93122802105974
41,20,290000,0.029,0.018,44.605982645284456
43,25,235000,0.022,0.019,49.11758409278482
42,5,245000,0.018,0.014,23.152040646787352
58,10,440000,0.009,0.009,157.08907966417547
46,25,530000,0.012,0.009,131.4014182727195
32,25,440000,0.043,0.011,41.59199827190513
18,15,100000,0.03,0.01,3.0584915950736975
42,10,55000,0.011,0.011,6.136877024538292
24,20,490000,0.024,0.016,19.634710851592633
26,25,550000,0.034,0.019,31.40962312438947
41,20,500000,0.037,0.006,78.28719395296812
18,20,315000,0.034,0.012,10.553014549529019
25,10,475000,0.011,0.014,15.114885804166466
41,20,430000,0.042,0.007,68.58561672643458
28,20,510000,0.025,0.006,25.733349455981973
34,5,230000,0.033,0.009,10.29826376268221
25,20,105000,0.016,0.009,4.251914076922878
52,5,60000,0.03,0.013,12.518932205788904
52,10,545000,0.026,0.011,130.88178814652537
50,20,335000,0.013,0.017,94.63408317442631
22,25,550000,0.041,0.014,25.353576746743684
59,20,315000,0.03,0.012,192.68747384340898
56,5,105000,0.018,0.009,28.25770409141058
58,25,60000,0.029,0.013,42.03948061921827
45,10,160000,0.04,0.018,24.30121176373839
24,15,250000,0.027,0.017,8.827290169574656
26,15,485000,0.022,0.006,17.943052164631922
25,5,55000,0.031,0.009,1.6794488376180958
29,10,270000,0.019,0.016,10.092855780360514
51,10,285000,0.027,0.011,64.04282024380801
50,20,145000,0.022,0.018,42.37526935322136
40,15,110000,0.014,0.018,12.385360191572486
41,20,250000,0.012,0.016,36.03769330164579
54,10,75000,0.024,0.006,20.480650138321966
52,5,215000,0.014,0.019,44.43534480553038
57,5,150000,0.029,0.012,43.66623964266962
39,25,120000,0.042,0.005,19.959236838052725
44,5,230000,0.023,0.009,26.400444264238782
52,15,60000,0.04,0.014,17.68884921051865
18,25,85000,0.042,0.01,3.267951253472366
52,15,365000,0.029,0.013,104.4986492517787
54,20,400000,0.028,0.01,160.7433220339099
31,20,370000,0.033,0.011,24.429902727706843
20,5,410000,0.011,0.006,11.912854447705834
18,25,340000,0.029,0.014,12.535314773361213
22,15,250000,0.027,0.018,8.416676816500011
43,15,205000,0.014,0.016,29.680059470391985
31,10,540000,0.033,0.015,23.175669273783065
56,5,455000,0.037,0.007,124.24390269154016
44,20,505000,0.014,0.017,92.69326713507478
26,10,420000,0.006,0.011,13.574123887259967
32,20,60000,0.026,0.007,4.1887343908997945
32,20,485000,0.012,0.013,32.153140348497466
43,15,60000,0.006,0.01,8.429973951127423
59,20,550000,0.022,0.01,326.2899612732237
30,25,400000,0.027,0.016,29.794680362949833
49,20,465000,0.035,0.009,131.04617434200838
56,25,280000,0.02,0.013,158.51259337064522
49,20,515000,0.014,0.009,134.45266638940487
21,10,345000,0.018,0.013,10.512061530963098
47,15,400000,0.025,0.012,79.79620532556008
54,10,505000,0.032,0.009,140.2712138323071
40,15,235000,0.03,0.017,27.624687030831268
56,10,210000,0.026,0.007,66.33769967166322
32,5,370000,0.015,0.005,14.068228995196899
