age_souscription,duree,capital_emprunte,taux_interet_annuel,taux_technique_annuel,target
56,20,165000,0.025,0.019,77.47496930250587
46,20,330000,0.043,0.005,76.69795028071417
32,5,360000,0.023,0.007,13.79934567757017
60,20,490000,0.031,0.014,328.4538586794251
25,15,145000,0.033,0.009,5.310474558314331
38,10,105000,0.006,0.012,7.893230326499379
56,5,395000,0.018,0.019,106.99623183001546
36,20,370000,0.045,0.006,39.285032404688586
40,20,145000,0.005,0.015,18.71291032118248
28,25,430000,0.024,0.017,27.051075026510585
28,5,190000,0.038,0.007,6.228129349633346
41,5,120000,0.017,0.015,10.23701914729936
53,15,220000,0.045,0.017,70.8417055361573
57,10,390000,0.024,0.008,132.31297183740554
41,15,210000,0.042,0.007,27.52981926397328
20,15,50000,0.026,0.006,1.5871659213205558
39,15,500000,0.021,0.016,52.36812366882899
19,10,405000,0.033,0.011,12.212233261281536
41,15,360000,0.043,0.012,47.55212840253202
47,5,320000,0.02,0.006,46.642749143414726
55,10,255000,0.04,0.007,76.82681928336693
19,20,75000,0.031,0.015,2.5985534036412505
38,25,285000,0.02,0.011,39.58915615552477
50,25,305000,0.007,0.018,100.44671654146833
29,5,490000,0.017,0.017,16.36586789941668
39,25,120000,0.038,0.017,19.671780231274443
42,25,410000,0.009,0.018,74.55221915183202
44,25,515000,0.028,0.018,119.23494313084878
59,20,150000,0.025,0.013,90.1575779251399
45,25,85000,0.031,0.009,21.39206325015126
33,15,230000,0.043,0.013,14.713060593847208
32,5,380000,0.035,0.009,14.732408365735424
20,5,145000,0.025,0.008,4.267235676336695
54,5,190000,0.038,0.013,45.697069652143014
24,20,540000,0.033,0.014,22.23394293298327
38,20,160000,0.041,0.012,19.938163563150066
26,25,355000,0.034,0.017,20.258915868044927
56,15,260000,0.035,0.014,102.00373708692676
35,25,300000,0.008,0.02,30.767677300572036
21,5,490000,0.005,0.008,14.325686391613148
42,15,220000,0.043,0.01,31.52495116187014
31,5,95000,0.015,0.006,3.4059100348122646
26,15,195000,0.012,0.012,7.0966051564439265
43,10,155000,0.011,0.006,18.7856845618346
19,20,205000,0.035,0.015,7.188692612377203
37,20,330000,0.007,0.009,33.04740485131522
45,5,220000,0.031,0.016,27.88165976491862
24,5,95000,0.028,0.006,2.848015786966388
25,10,235000,0.011,0.01,7.4366564542146145
52,25,55000,0.01,0.019,21.484187431613602
31,15,105000,0.01,0.006,5.127083705015252
34,10,215000,0.015,0.018,11.35665774336869
53,10,410000,0.031,0.01,106.22234000072628
57,5,215000,0.013,0.006,61.51239764462126
21,5,200000,0.031,0.019,6.018664687132782
19,25,150000,0.044,0.011,6.091861170407467
23,25,490000,0.039,0.012,23.57141194277393
59,5,450000,0.037,0.015,152.53371393380615
21,20,235000,0.043,0.012,8.888788259641387
46,25,205000,0.029,0.017,55.34909314412955
35,10,170000,0.036,0.014,10.148125869810256
43,5,370000,0.036,0.01,39.11362882560935
51,15,400000,0.044,0.015,111.02366723153328
27,15,220000,0.031,0.006,8.748387813914936
53,20,485000,0.016,0.012,172.76236389256047
31,5,280000,0.013,0.01,10.048663547420514
48,10,325000,0.017,0.011,58.491747312242346
32,20,335000,0.035,0.015,24.314994656403755
25,10,300000,0.031,0.007,9.769515824376896
31,15,305000,0.014,0.006,15.06740640578244
40,10,250000,0.039,0.018,24.45909442925725
57,15,490000,0.044,0.018,213.66406523987652
38,25,205000,0.035,0.019,30.6149983337272
33,15,525000,0.007,0.016,30.446581414515936
35,15,480000,0.03,0.018,35.71210723272154
41,20,545000,0.043,0.01,87.44671894966271
43,20,485000,0.018,0.007,82.79570469790639
42,5,85000,0.028,0.015,8.106539289833771
58,5,400000,0.014,0.01,123.17996129311997
46,15,385000,0.04,0.009,74.15779099350422
32,25,215000,0.04,0.014,20.03909385438117
18,5,355000,0.02,0.007,9.368756490558578
42,15,315000,0.019,0.014,42.52514613100724
24,20,230000,0.005,0.018,8.649696932615624
26,5,415000,0.018,0.015,12.861277802454422
41,5,115000,0.036,0.013,9.959990500970797
18,15,200000,0.006,0.012,5.794559907642113
25,15,365000,0.013,0.01,12.72928971643728
41,10,425000,0.034,0.016,45.30012276488828
28,10,80000,0.031,0.019,2.9244441149584466
34,25,295000,0.044,0.012,33.055480160760915
